Category,Total_Orders,Avg_Actual_Days,Avg_Estimated_Days,Avg_Delay_Days,Late_Delivery_Percentage
audio,362,12.883977900552493,22.417127071823192,-9.2762430939226661,12.71
Fashion Underwear and Beach Fashion,127,13.275590551181097,23.535433070866155,-10.055118110236224,12.6
Christmas articles,150,15.299999999999995,26.726666666666674,-11.173333333333336,12.0
technical books,263,10.2319391634981,20.885931558935365,-10.418250950570348,11.03
House comfort,429,13.039627039627049,22.272727272727259,-8.9137529137529068,10.26
Construction Tools Illumination,301,9.2458471760797352,19.893687707641185,-10.322259136212624,9.97
foods,499,9.1002004008016,18.364729458917818,-8.965931863727457,9.82
electronics,2729,12.42469769146207,22.948699157200462,-10.23744961524366,9.75
,1537,12.314899154196489,23.143135979180215,-10.500325309043591,9.37
HEALTH BEAUTY,9465,11.515478077126241,22.882831484416212,-11.059693608029578,9.05
Furniture office,1668,20.386690647482016,31.632494004796147,-10.935251798561149,8.93
babies,2982,12.056338028169012,23.097920858484258,-10.734406438631792,8.79
musical instruments,651,12.502304147465432,23.413210445468522,-10.569892473118276,8.6
Furniture Decoration,8160,12.404044117647048,24.234681372548984,-11.483823529411781,8.43
bed table bath,10953,12.336802702455937,23.406646580845351,-10.740162512553681,8.4
telephony,4430,12.383747178329568,23.179232505643338,-10.465914221218943,8.33
automotive,4140,11.766368688088891,22.591545893719797,-10.519932350809396,8.29
Watches present,5859,12.1917363838142,23.510496671786942,-11.00324398156056,8.28
Casa Construcao,596,12.758389261744968,23.709731543624166,-10.639261744966447,8.22
Construction Tools Construction,916,10.288209606986904,21.263100436681242,-10.701965065502193,8.08
stationary store,2466,12.282643957826441,23.710462287104626,-11.119221411192211,8.03
Garden tools,4268,13.231958762886597,24.6375351452671,-11.055529522024379,7.97
Room Furniture,495,13.294949494949492,24.5757575757576,-10.878787878787884,7.88
Games consoles,1089,13.144168962350767,24.214876033057827,-10.757575757575779,7.81
computer accessories,7644,12.779798508439116,24.572475143903745,-11.497579484495567,7.77
Furniture,103,12.757281553398057,25.689320388349525,-12.592233009708737,7.77
Art,197,10.873096446700513,23.081218274111681,-11.852791878172591,7.61
Industry Commerce and Business,265,10.310606060606057,22.207547169811313,-11.621212121212116,7.55
toys,4030,11.233804914370818,22.728784119106709,-11.170017374038249,7.42
sport leisure,8431,11.689798339264513,23.088720199264646,-11.08362989323845,7.41
perfumery,3340,11.281137724550902,23.112275449101766,-11.483532934131739,7.34
Construction Tools Garden,232,11.431034482758623,24.387931034482765,-12.616379310344829,7.33
IMAGE IMPORT TABLETS,83,12.578313253012052,24.734939759036148,-11.843373493975903,7.23
cine photo,70,10.12857142857143,20.828571428571429,-10.400000000000002,7.14
ELECTRICES 2,231,13.424242424242419,25.316017316017316,-11.523809523809522,6.93
HOUSE PASTALS OVEN AND CAFE,73,9.3972602739726021,20.383561643835627,-10.657534246575342,6.85
home appliances,754,10.86737400530504,22.874005305039788,-11.720159151193627,6.76
Cool Stuff,3718,11.898601398601421,23.802582033351236,-11.559978483055415,6.75
Blu Ray DVDs,61,12.508196721311473,25.21311475409836,-12.42622950819672,6.56
PCs,199,13.050251256281408,24.015075376884433,-10.643216080402002,6.53
General Interest Books,537,11.171641791044786,22.69832402234638,-11.218283582089557,6.52
housewares,6795,10.456512141280358,22.168064753495219,-11.365121412803571,6.49
Drink foods,269,10.449814126394049,21.420074349442359,-10.676579925650552,6.32
Fashion Bags and Accessories,1985,10.605541561712856,23.361209068010073,-12.397984886649869,6.25
pet Shop,1924,10.763513513513509,22.701663201663187,-11.597713097713097,6.13
electrostile,658,10.325227963525847,23.613981762917938,-12.936170212765951,5.93
Fashion Calcados,257,14.933852140077814,29.229571984435772,-13.891050583657584,5.84
Construction Tools Tools,103,11.63106796116505,23.271844660194187,-11.262135922330096,5.83
Fashion Men's Clothing,125,12.471999999999998,24.607999999999997,-11.767999999999997,5.6
SIGNALIZATION AND SAFETY,197,9.9695431472081157,22.137055837563448,-11.761421319796954,5.58
drinks,361,10.019390581717449,20.872576177285328,-10.584487534626037,5.54
CONSTRUCTION SECURITY TOOLS,183,11.426229508196725,23.245901639344261,-11.442622950819667,5.46
Bags Accessories,1077,10.194057567316616,22.236768802228429,-11.673166202414125,5.39
Furniture Kitchen Service Area Dinner and Garden,274,11.452554744525552,23.226277372262768,-11.474452554744529,4.38
Agro Industria e Comercio,206,11.223300970873785,22.043689320388342,-10.504854368932046,4.37
fixed telephony,255,12.235294117647056,26.392156862745104,-13.760784313725493,4.31
Market Place,305,11.675409836065578,25.747540983606555,-13.665573770491795,4.26
climatization,289,11.792387543252593,25.363321799307947,-13.207612456747407,3.81
Imported books,57,7.666666666666667,18.157894736842106,-10.228070175438596,3.51